N_A,N_B,r_Z_A,r_Z_B,C_SS1,r_A_SS1,r_B_SS1,p_SS1toACL_A,p_SS1toRef_A,p_SS1toACL_B,p_SS1toRef_B,r_A_ACL,r_B_ACL,r_A_SS2,r_B_SS2,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Uss1,Uss1_low,Uss1_up,Uacl,Uacl_low,Uacl_up,Uss2,Uss2_low,Uss2_up,sim_time_sec
0,25,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,104.2052537769329,102.16981421429824,106.24069333956756,0.0,0.0,0.0,104.2052537769329,102.16981421429824,106.24069333956756,0.2396222236629401,0.2351008273483688,0.2443209386961998,0.0,0.0,0.0,0.2396222236629401,0.2351008273483688,0.2443209386961998,0.1766279862359263,0.1722428799073469,0.1810130925645058,0.2997042048413904,0.2922737712501287,0.307134638432652,0.2542104461401617,0.2482216115982601,0.2601992806820634,9.92551326751709
9,16,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,170.73907652195837,167.1871360639827,174.291016979934,1373.2244714385297,1334.7494673233243,1411.6994755537346,113.73010174879794,111.13166449616182,116.32853900143404,0.1481158702973453,0.1456902281760616,0.1506236505081956,0.0064889930323514,0.0063022411014575,0.0066871508484394,0.1415238531260864,0.1390214375656827,0.1441180080433206,0.4967652134347108,0.4849106863485439,0.5086197405208778,0.697789770642529,0.6862840897454121,0.7092954515396459,0.9899145474846331,0.9611281012615204,1.018700993707746,16.647571086883545
6,19,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,142.77275064470953,140.64014270136488,144.90535858805418,985.1070285591704,966.7542223455978,1003.4598347727432,112.06722289313475,110.476758066504,113.65768771976552,0.1757828543922067,0.172756308294712,0.178917336554204,0.0061024034852866,0.0059667625932619,0.0062443548103743,0.1695406038599964,0.1671544052643306,0.1719959170482534,0.4884921332579394,0.475586774721809,0.5013974917940698,0.7098575125778245,0.6941029609889461,0.7256120641667029,0.9561404185838488,0.9414830532268246,0.970797783940873,24.635035037994385
8,17,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,161.1019121146631,157.8462685237774,164.35755570554872,1251.6346471986158,1221.1255673490805,1282.1437270481513,114.3975557467792,112.60631143457512,116.18880005898328,0.1551107407630213,0.1528405453394134,0.1574493930543227,0.0063609354195391,0.0062390862878732,0.0064876387723211,0.1490012256227365,0.1464004567631023,0.151696069772239,0.4979686002397128,0.4869846234230844,0.5089525770563411,0.6998423751409872,0.6873778601176742,0.7123068901643003,0.9840603457369574,0.9704857195236452,0.9976349719502696,25.47114300727844
7,18,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,151.25380350028294,148.2590872006365,154.2485197999294,1121.9898835960746,1101.1838642275468,1142.7959029646024,113.013050666687,110.9921640010576,115.0339373323164,0.1653591465031119,0.1622416489765002,0.1685987975901968,0.006227759652996,0.0060815140320601,0.0063812122880588,0.1587298921816207,0.1561452971596591,0.1614014903409028,0.4958620666253781,0.4855251891839081,0.5061989440668482,0.7003124778179316,0.6821330170956053,0.718491938540258,0.9744929846708578,0.9597387114648748,0.9892472578768406,26.91681790351868
10,15,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,183.55235295067467,179.47993422846815,187.6247716728812,1494.9749779518547,1472.6859675230935,1517.2639883806155,116.57375632528684,113.96772936915691,119.17978328141676,0.1355900726414584,0.1335243097213292,0.1377207590914153,0.0067031658680124,0.0066045452500171,0.0068047763842446,0.1287445610403013,0.1260231205194646,0.1315861335578559,0.4944379338230728,0.4805631606166899,0.5083127070294557,0.6949598182785975,0.6784927582594849,0.7114268782977102,0.9907174504981292,0.9779223184882768,1.0035125825079814,18.142140865325928
4,21,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,125.54403049988166,123.39529990976428,127.69276108999904,736.2116867693072,719.0368564321104,753.386517106504,108.85621359901496,105.8645435582109,111.847883639819,0.1987510557632975,0.1940144958939121,0.2037246744242937,0.0054266464101347,0.0053184733232123,0.0055393111448331,0.1927544430114163,0.1899295671427845,0.1956646179029516,0.471650010339527,0.4618104752847758,0.4814895453942782,0.6759317508773445,0.6564311619705772,0.6954323397841118,0.9027261517202068,0.8854443695447843,0.9200079338956294,28.589664220809937
5,20,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,132.8028919991159,130.33367287920447,135.27211111902733,852.9685830720914,836.7062916567874,869.2308744873955,110.23649486383232,108.1616204823851,112.31136924527956,0.1878087632773282,0.1848987945862365,0.1908117917235063,0.0058669816483582,0.0057740058485096,0.0059630007341192,0.1819106303633028,0.1789253129987505,0.1849972563556629,0.4841124344856174,0.4722435290828582,0.4959813398883766,0.6874139654847834,0.6670424592585533,0.7077854717110135,0.938117872655924,0.9110872910694514,0.9651484542423964,30.477468967437744
11,14,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,197.5611986713514,192.29742271608697,202.82497462661584,1632.5022555587143,1594.9518318269866,1670.052679290442,117.10190850545122,115.10618670396782,119.09763030693462,0.1263873907216993,0.124044042776933,0.1288209810368615,0.0067510299080297,0.0065954196921376,0.0069141603896623,0.1198069296365597,0.1176819923168228,0.122010016379764,0.495644816824394,0.4839280191015248,0.5073616145472633,0.6898985976555996,0.6767105054317706,0.7030866898794286,0.997081619571188,0.984552422532063,1.009610816610313,15.233373880386353
3,22,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,119.8792062688116,116.29916965271464,123.45924288490852,612.8846558652886,598.5736534175574,627.1956583130197,107.78257603968646,105.91463397220365,109.65051810716928,0.2088737606071354,0.2044484746784812,0.2134948553884804,0.0049067860071022,0.0048034189632566,0.0050146997010429,0.2040321511737318,0.1983602542925513,0.2100379593992501,0.4450551574113471,0.435219878985705,0.4548904358369893,0.6510253561975886,0.6378961670399143,0.664154545355263,0.8533479090709781,0.8390518246955078,0.8676439934464485,37.05893611907959
13,12,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,229.4602596925165,224.16834692238905,234.752172462644,1868.143613817669,1826.7392451864005,1909.5479824489375,117.61532023434208,115.87073568017908,119.35990478850508,0.1089370679600148,0.1069339833962641,0.1110166285249087,0.0069663106420553,0.0068221452128948,0.0071167006096656,0.1017413981420651,0.0995173667649263,0.1040671079239329,0.494638476966928,0.4822330387168152,0.5070439152170408,0.6911074050058358,0.6739086227681698,0.7083061872435018,0.9995418823523128,0.9870842147177408,1.0119995499868848,14.05943512916565
16,9,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,309.4074335713004,303.7472889717119,315.06757817088885,2208.4837142184447,2175.121988199803,2241.845440237086,122.05006619725116,118.5167543669731,125.58337802752924,0.0806387002933493,0.0786474893791742,0.0827333579436333,0.0072542519459869,0.0071017512616214,0.0074134458581972,0.0736507128239326,0.072687161142607,0.074640153660853,0.4850467748285563,0.4741237542213741,0.4959697954357385,0.6728179650071098,0.6579509150480475,0.6876850149661721,1.0,0.9874855732602296,1.0125144267397703,11.485106945037842
18,7,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,388.9215772352486,380.7747420315328,397.0684124389644,2425.927820591437,2369.1588210731343,2482.69682010974,123.22149364397497,121.0686181983162,125.3743690896337,0.0642619600589152,0.0632762841001313,0.065278830354204,0.0074869717419578,0.0072934485916703,0.0076910446395649,0.0568286111821467,0.0560198744105839,0.0576610408241573,0.4794011752955504,0.4656818882312219,0.4931204623598788,0.6645137016424131,0.6447002338691056,0.6843271694157206,0.9999606883247916,0.9874495210954932,1.01247185555409,8.705609321594238
14,11,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,252.66250572021085,249.04558263395796,256.2794288064637,1978.5955765268504,1934.0421371698,2023.149015883901,119.55648627235549,117.5273791200772,121.58559342463376,0.0989434624862212,0.0972374931762054,0.1007103610302519,0.0070719572000263,0.0069233486572843,0.0072270854021508,0.0920160060170292,0.0904862988803791,0.0935983231711732,0.4885198512359655,0.477611682150758,0.499428020321173,0.6863253728941413,0.6666935385769274,0.7059572072113552,0.9984570960987744,0.9857095871365136,1.0112046050610357,15.461219787597656
17,8,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,345.5425704114991,336.7547156994104,354.3304251235879,2345.072477615464,2281.9681171291245,2408.1768381018032,122.90167388774124,120.80322639410484,125.00012138137764,0.0720070178627796,0.0706934207126195,0.0733703567788972,0.0072159524967479,0.0070223055863156,0.0074205822744458,0.0649424085354934,0.0638120350671371,0.0661135513180438,0.4806506874315885,0.4707668005826182,0.4905345742805588,0.6540425763879881,0.6395046721208624,0.6685804806551139,1.0,0.9874855732602296,1.0125144267397703,14.115599870681764
15,10,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,277.3736142139866,270.5071148493945,284.2401135785787,2076.9199825367987,2019.4971658287457,2134.3427992448514,120.19418888890183,116.68735143410936,123.7010263436943,0.0897747887721,0.087168384823027,0.0925418640175531,0.0071452371941934,0.0070212876313896,0.0072736416623437,0.0831580072175379,0.0809571461010389,0.0854818753970305,0.491069685295546,0.4794060405053028,0.5027333300857894,0.6668633594103976,0.6535543002567606,0.6801724185640347,0.9995925394092524,0.9870596526769254,1.0121254261415793,16.668200254440308
12,13,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,211.23545609548748,205.92561751563912,216.54529467533584,1719.7422670504177,1684.7856995102002,1754.6988345906352,117.47847821929756,115.12030338734068,119.83665305125449,0.1178542700939923,0.1157138494319629,0.1200753680880361,0.0068665086673071,0.0067556369050588,0.0069810803489355,0.1109850175891185,0.1091626201724867,0.1128692954874351,0.4838871097724784,0.471681269257635,0.4960929502873218,0.68116398182285,0.6645061894081048,0.6978217742375952,0.9981073718627254,0.985514510146631,1.0107002335788198,21.369361877441406
22,3,0.05,0.01,1,0.0833333333333333,1.6666666666666667,0.8,0.1999999999999999,0.2,0.8,0.05,0.2,0.03125,0.2352941176470588,797.317934840244,778.0993032121789,816.536566468309,2876.465797871862,2824.026662746755,2928.904932996969,125.17277429606914,121.57669315873387,128.76885543340438,0.0312834868625067,0.0306994347436235,0.031890192977311,0.0076110772411892,0.0074886132652852,0.0077376132022797,0.0239521056903241,0.0232556769504288,0.0246915334685937,0.4775061940027206,0.467422436520838,0.4875899514846032,0.6448582591018736,0.6286636722166751,0.661052845987072,1.0,0.9874855732602296,1.0125144267397703,8.261433839797974
